StudentID;Name;Class-name;Gender;BirthDate;PHI1004;PHI1005;POL1001;HIS1002;INT1003;INT1006;FLF2101;FLF2102;FLF2103;FLF2104;FLF2105;CME1001;CME1002;CME1003;PES1003;PES1005;PES1006;PES1007;PES1020;PES1021;PES1022;PES1015;PES1016;PES1017;PES1030;PES1031;PES1032;PES1025;PES1026;PES1027;PES1035;PES1036;PES1037;PES1050;PES1051;PES1052;PES1045;PES1046;PES1047;SSA;MAT1093;MAT1041;MAT1042;PHY1100;PHY1103;ELT2035;INT2203;MAT1101;ELT2029;INT2204;INT2205;INT1050;INT2206;INT2209;INT2208;INT2207;INT2202;INT3401;INT3403;INT2044;INT3414;ELT3144;ELT2040;ELT3102;ELT2041;ELT3043;INT3303;INT3307;INT3313;INT3058;INT3509;INT3201;INT3213;INT2020;INT3207;INT2038;INT3202;INT3211;INT3220;INT4001;INT3110;INT3507;INT3508;INT3402;INT3404;INT3405;INT3406;INT3407;INT3409;INT3411;INT3412;INT3413;INT3512;INT3513;INT3123;INT3011;ELT3067;ELT3057;ELT3098;ELT3163;ELT3062;ELT3056;INT3305;INT3310;INT3304;INT3308;INT3309;INT3124;INT3317;INT3301;INT3318;INT3216;INT3212;INT3126;INT3073;INT3210;INT3075;INT3214;INT3215;INT3505;INT3506;INT3206;INT3127;INT3222;INT2041;INT3501;INT3217;MAT1099;INE1151;JAP2003;INT3108;INT3122;INT3111;INT3209;INT3306;INT3121;INT3120;INT3125;MAT1100;ELT2028;ELT2031;BSA2004;BSA2022;BSA2001;INT3117;INT3105;INT3106;INT3109;INT3115;INE1150;ELT3103;PSY1050;MNS1052;BSA1054;JOU1050;SOC3006;INT4054;INT4050
trieudh_58;Đặng Hải Triều;QH-2007-I/CQ-C-B;Nam;10/07/1987;2.2007-2008-2.2008-2009;2.2007-2008-2.2008-2009;1.2010-2011;;1.2007-2008;;1.2007-2008;2.2007-2008;1.2008-2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2007-2008;1.2007-2008;2.2007-2008;2.2007-2008;1.2008-2009;;1.2009-2010;1.2008-2009;;2.2008-2009;2.2008-2009;2.2008-2009;1.2009-2010;1.2009-2010;1.2009-2010;1.2009-2010;1.2008-2009;2.2009-2010;1.2010-2011;1.2009-2010;;2.2008-2009;;;;;;;;1.2010-2011;2.2010-2011;;;2.2009-2010;;;;;;;;;;2.2009-2010;;;;;;;;;;;;;;;;;;;;;;;;;;2.2009-2010-2.2010-2011;;;;;;;;;;2.2010-2011;;;;;;;;2.2008-2009;;;1.2010-2011;;1.2010-2011;;;;;;;;;;;;;;;;;;;;2.2009-2010;;;;;
thuongdv_58;Đinh Viết Thường;QH-2007-I/CQ-C-B;Nam;10/07/1987;2.2007-2008-2.2008-2009;2.2007-2008-2.2008-2009;1.2010-2011;;1.2007-2008;;1.2007-2008;2.2007-2008;1.2008-2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2007-2008;1.2007-2008;2.2007-2008;2.2007-2008;1.2008-2009;;1.2009-2010;1.2008-2009;;2.2008-2009;2.2008-2009;2.2008-2009;1.2009-2010;1.2009-2010;1.2009-2010;1.2009-2010;1.2008-2009;2.2009-2010;1.2010-2011;1.2009-2010;;2.2008-2009;;;;;;;;1.2010-2011;2.2010-2011;;;2.2009-2010;;;;;;;;;;2.2009-2010;;;;;;;;;;;;;;;;;;;;;;;;;;2.2009-2010-2.2010-2011;;;;;;;;;;2.2010-2011;;;;;;;;2.2008-2009;;;1.2010-2011;;1.2010-2011;;;;;;;;;;;;;;;;;;;;2.2009-2010;;;;;
14020066;Hà Hồng Duyên;QH-2007-I/CQ-C-B;Nam;10/07/1987;2.2007-2008-2.2008-2009;2.2007-2008-2.2008-2009;1.2010-2011;;1.2007-2008;;1.2007-2008;2.2007-2008;1.2008-2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2007-2008;1.2007-2008;2.2007-2008;2.2007-2008;1.2008-2009;;1.2009-2010;1.2008-2009;;2.2008-2009;2.2008-2009;2.2008-2009;1.2009-2010;1.2009-2010;1.2009-2010;1.2009-2010;1.2008-2009;2.2009-2010;1.2010-2011;1.2009-2010;;2.2008-2009;;;;;;;;1.2010-2011;2.2010-2011;;;2.2009-2010;;;;;;;;;;2.2009-2010;;;;;;;;;;;;;;;;;;;;;;;;;;2.2009-2010-2.2010-2011;;;;;;;;;;2.2010-2011;;;;;;;;2.2008-2009;;;1.2010-2011;;1.2010-2011;;;;;;;;;;;;;;;;;;;;2.2009-2010;;;;;
14020613;Phan Hà Trang;QH-2007-I/CQ-C-B;Nam;10/07/1987;2.2007-2008-2.2008-2009;2.2007-2008-2.2008-2009;1.2010-2011;;1.2007-2008;;1.2007-2008;2.2007-2008;1.2008-2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2007-2008;1.2007-2008;2.2007-2008;2.2007-2008;1.2008-2009;;1.2009-2010;1.2008-2009;;2.2008-2009;2.2008-2009;2.2008-2009;1.2009-2010;1.2009-2010;1.2009-2010;1.2009-2010;1.2008-2009;2.2009-2010;1.2010-2011;1.2009-2010;;2.2008-2009;;;;;;;;1.2010-2011;2.2010-2011;;;2.2009-2010;;;;;;;;;;2.2009-2010;;;;;;;;;;;;;;;;;;;;;;;;;;2.2009-2010-2.2010-2011;;;;;;;;;;2.2010-2011;;;;;;;;2.2008-2009;;;1.2010-2011;;1.2010-2011;;;;;;;;;;;;;;;;;;;;2.2009-2010;;;;;
14020568;Lê Thị Xuân;QH-2007-I/CQ-C-B;Nam;10/07/1987;2.2007-2008-2.2008-2009;2.2007-2008-2.2008-2009;1.2010-2011;;1.2007-2008;;1.2007-2008;2.2007-2008;1.2008-2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2007-2008;1.2007-2008;2.2007-2008;2.2007-2008;1.2008-2009;;1.2009-2010;1.2008-2009;;2.2008-2009;2.2008-2009;2.2008-2009;1.2009-2010;1.2009-2010;1.2009-2010;1.2009-2010;1.2008-2009;2.2009-2010;1.2010-2011;1.2009-2010;;2.2008-2009;;;;;;;;1.2010-2011;2.2010-2011;;;2.2009-2010;;;;;;;;;;2.2009-2010;;;;;;;;;;;;;;;;;;;;;;;;;;2.2009-2010-2.2010-2011;;;;;;;;;;2.2010-2011;;;;;;;;2.2008-2009;;;1.2010-2011;;1.2010-2011;;;;;;;;;;;;;;;;;;;;2.2009-2010;;;;;
6020001;Đoàn Văn Anh;QH-2007-I/CQ-C-B;Nam;10/07/1987;2.2007-2008-2.2008-2009;2.2007-2008-2.2008-2009;1.2010-2011;;1.2007-2008;;1.2007-2008;2.2007-2008;1.2008-2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2007-2008;1.2007-2008;2.2007-2008;2.2007-2008;1.2008-2009;;1.2009-2010;1.2008-2009;;2.2008-2009;2.2008-2009;2.2008-2009;1.2009-2010;1.2009-2010;1.2009-2010;1.2009-2010;1.2008-2009;2.2009-2010;1.2010-2011;1.2009-2010;;2.2008-2009;;;;;;;;1.2010-2011;2.2010-2011;;;2.2009-2010;;;;;;;;;;2.2009-2010;;;;;;;;;;;;;;;;;;;;;;;;;;2.2009-2010-2.2010-2011;;;;;;;;;;2.2010-2011;;;;;;;;2.2008-2009;;;1.2010-2011;;1.2010-2011;;;;;;;;;;;;;;;;;;;;2.2009-2010;;;;;
7020014;Lê Xuân Anh;QH-2007-I/CQ-C-B;Nam;20/04/1989;2.2007-2008-2.2008-2009;2.2007-2008-2.2008-2009;1.2010-2011;;1.2007-2008;;1.2007-2008;2.2007-2008;1.2008-2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2007-2008;1.2007-2008;2.2007-2008;2.2007-2008;1.2008-2009;;1.2009-2010;1.2008-2009;;2.2008-2009;2.2008-2009;2.2008-2009;1.2009-2010;1.2009-2010;1.2009-2010;1.2009-2010;1.2008-2009;2.2009-2010;1.2010-2011;1.2009-2010;;2.2008-2009;;;;;;;;1.2010-2011;2.2010-2011;;;2.2009-2010;;;;;1.2010-2011;;;;;2.2009-2010;;;;;;;;;;;;;;;;;;;;;;;;;;2.2009-2010;;;;;;;;;;2.2010-2011;;;;;;;;2.2008-2009;;;;;;;;;;;;;;;;;;;;;;;;;2.2009-2010;;;;;
6020013;Bùi Văn Bách;QH-2007-I/CQ-C-B;Nam;13/05/1987;2.2007-2008-2.2008-2009;2.2007-2008-2.2008-2009;1.2010-2011;;1.2007-2008;;1.2007-2008;2.2007-2008;1.2008-2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2007-2008;1.2007-2008;2.2007-2008;2.2007-2008;1.2008-2009;;1.2009-2010-2.2010-2011;1.2008-2009;;2.2008-2009-1.2010-2011;2.2008-2009;2.2010-2011;1.2009-2010-2.2010-2011;1.2009-2010;1.2009-2010;1.2009-2010;1.2008-2009;2.2009-2010-2.2010-2011;1.2010-2011;1.2009-2010;;2.2008-2009;;;;;;;;1.2010-2011;2.2010-2011;;;2.2009-2010;;;;;;;;;;2.2009-2010;;;;;;;;;;;;;;;;;;;;;;;;;;2.2009-2010;;;;;;;;;;2.2010-2011;;;;;;;;2.2008-2009;;;1.2010-2011;;1.2010-2011;;;;;;;;;;;;;;;;;;;;2.2009-2010;;;;;
7020027;Nông Hữu Bách;QH-2007-I/CQ-C-B;Nam;26/10/1989;2.2007-2008-2.2008-2009;2.2007-2008-2.2008-2009;1.2010-2011;;1.2007-2008;;1.2007-2008;2.2007-2008;1.2008-2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2007-2008;1.2007-2008;2.2007-2008;2.2007-2008;1.2008-2009;;1.2009-2010;1.2008-2009;;2.2008-2009;2.2008-2009;2.2008-2009;1.2009-2010;1.2009-2010;1.2009-2010;1.2009-2010;1.2008-2009;2.2009-2010;1.2010-2011;1.2009-2010;;2.2008-2009;;;;;1.2010-2011;;;1.2010-2011;;;;2.2009-2010;;;;;1.2010-2011;;;;;2.2009-2010;;;;;;;;;;;;;;;;;;;;;;;;;;2.2009-2010;;;;;;;;;;;;;;;;;;2.2008-2009;;;;;;;;;;;;;;;;;;;;;;;;;2.2009-2010;;;;;
6020017;Đoàn Cao Bằng;QH-2007-I/CQ-C-B;Nam;29/07/1988;2.2007-2008-2.2008-2009;2.2007-2008-2.2008-2009;1.2010-2011;;1.2007-2008;;1.2007-2008;2.2007-2008;1.2008-2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2007-2008;1.2007-2008;2.2007-2008;2.2007-2008;1.2008-2009;;1.2009-2010;1.2008-2009;;2.2008-2009;2.2008-2009;2.2008-2009;1.2009-2010;1.2009-2010;1.2009-2010;1.2009-2010;1.2008-2009;2.2009-2010;1.2010-2011;1.2009-2010;;2.2008-2009;;;;;;;;1.2010-2011;2.2010-2011;;;2.2009-2010;;;;;;;;;;2.2009-2010;;;;;;;;;;;;;;;;;;;;;;;;;;2.2009-2010;;;;;;;;;;2.2010-2011;;;;;;;;2.2008-2009;;;1.2010-2011;;1.2010-2011;;;;;;;;;;;;;;;;;;;;2.2009-2010;;;;;
